Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
Sierra Club; Sound Rivers; 350 Triangle,Protesting proposed Atlantic Coast Pipeline,0.0,60.0,2017-08-05,185,Spring Hope,NC
Bold Nebraska; Sierra Club,Oppose Keystone XL pipeline,1.0,500.0,2017-08-06,186,Lincoln,NE
general protestors,anti-pipeline,1.0,150.0,2017-08-07,187,Harrisonburg,VA
general protestors,against Keystone XL pipeline,1.0,50.0,2017-08-08,188,Lincoln,NE
general protestors,Oppose proposed Virginia Natural Gas pipeline,0.0,100.0,2017-08-16,196,Chesapeake,VA
general protestors,Protesting Mountain Valley and Atlantic Coast Pipelines,0,50.0,2017-09-13,224,Richmond,CA
 Members of the New Jersey Sierra Club ,Protesting PennEast Pipeline,0,50.0,2017-09-17,228,Millford,NJ
General protestors,Protest keystone pipeline,1.0,100.0,2017-02-03,2,Dallas,TX
Eastern-Idaho Water Protectors and general protestors,protest Dakota Access Pipeline,1.0,110.0,2017-02-04,3,Idaho Falls,ID
general protestors,protest Dakota Access Pipeline,1.0,1500.0,2017-02-05,4,Los Angeles,CA
Sugar Shack Alliance,Against local pipeline project,0.0,49.5,2017-02-06,5,Pittsfield,MA
general protesters,Against Dakota Access Pipeline,1.0,150.0,2017-02-07,6,Dallas,TX
March and Rally Los Angeles,Against Dakota Access Pipeline,1.0,500.0,2017-02-08,7,Los Angeles,CA
Idle No More S F Bay,Against Dakota Access Pipeline,1.0,200.0,2017-02-08,7,San Francisco,CA
International Indigenous Youth Council,Against Dakota Access Pipeline,1.0,100.0,2017-02-08,7,Denver,CO
general protesters,Against Dakota Access Pipeline,1.0,200.0,2017-02-08,7,Washington,DC
Bold Iowa,Against Dakota Access Pipeline,1.0,60.0,2017-02-08,7,Des Moines,IA
Nodapl.nyc,Against Dakota Access Pipeline,1.0,75.0,2017-02-08,7,New York,NY
general protesters,Against Dakota Access Pipeline,1.0,76.0,2017-02-08,7,Sacred Stone Camp,SD
American Indian Movement,Against Dakota Access Pipeline,1.0,300.0,2017-02-11,10,Denver,CO
general protesters,Against Dakota Access Pipeline,1.0,100.0,2017-02-11,10,Bellingham,WA
general protesters,Against Dakota Access Pipeline,1.0,50.0,2017-02-14,13,New Haven,CT
general protesters,Against local LNG pipeline,1.0,100.0,2017-02-14,13,Roseburg,OR
general protesters,No DAPL,1.0,200.0,2017-02-17,16,Portland,OR
general protesters,pro-clean energy,1.0,50.0,2017-02-20,19,Las Vegas,NV
Students,Protest Against the School To Prison Pipeline; police brutality against students,1.0,62.0,2017-02-26,25,Saint Paul ,MN
general protestors,against allowing hydraulic fracturing for natural gas; bill before state legislature,1,200.0,2017-03-02,29,Annapolis,MD
