Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
Victory Outreach Church,Stop local gun violence,0.0,200.0,2017-08-19,199,Victorville,CA
Wisconsin Anti-Violence Effort,Oppose NRA Carry Guard Expo ,1.0,100.0,2017-08-25,205,Milwaukee,WI
Club TNT,end gun violence,0.0,200.0,2017-08-26,206,Madison,WI
general protestors,second annual East End Community Day; end gun violence,0.0,150.0,2017-08-27,207,Richmond,VA
New Haven Rising,Rally to end gun violence,0,150.0,2017-09-23,234,New Haven,CT
general protestors,pro-gun rights; two gun-friendly bills,2.0,200.0,2017-02-25,24,Boise,ID
general protesters,anti-gun violence,1,200.0,2017-03-25,52,St. Louis,MO
"Students, parents and teachers",Against gun violence,1,100.0,2017-03-31,58,Chicago,IL
general protestors; organizer and pastor Barry Randall,Oppose youth gun violence,0.0,70.0,2017-07-01,150,Portsmouth,VA
NAACP; local community activists,Raise gun violence awareness,0.0,50.0,2017-07-08,157,Wichita,KS
Wilmington Peacekeepers ,annual Children's Rally and Peace March to raise awareness about gun violence ,0.0,50.0,2017-07-08,157,Wilmington,DE
Women's March; Newtown Action Alliance; Pride Fund to End Gun Violence,Protesting NRA,1.0,200.0,2017-07-14,163,Fairfax,VA
Women's March,Protesting NRA,1.0,500.0,2017-07-15,164,Washington,DC
general protestors,Protesting NRA,1.0,60.0,2017-07-16,165,Tampa,FL
Word Church,Casket Crusade to stop gun violence and drug abuse,0.0,200.0,2017-07-29,178,Cleveland,OH
Newtown Action Alliance,Against gun violence,0.0,300.0,2017-06-02,121,Newtown,CT
Moms Demand Action for Gun Sense in America,Against gun violence,0.0,100.0,2017-06-03,122,Naples,FL
Moms Demand Action for Gun Sense in America; League of Women Voters,Against gun violence,0.0,60.0,2017-06-03,122,Tallahassee,FL
general protesters,Against gun violence,0.0,200.0,2017-06-03,122,Chicago,IL
eighth graders,against gun violence,0.0,450.0,2017-06-19,138,Chicago,IL
Moms Demand Action for Gun Sense in America,Against gun violence,0.0,200.0,2017-06-03,122,New York,NY
Delaware County United for Sensible Gun Policy,Against gun violence,0.0,400.0,2017-06-02,121,Media,PA
Pastors,Protesting gun violence,0.0,50.0,2017-12-13,315,Savannah,GA
Farmington Valley League of Light,Rally for victims of gun violence,1.0,242.0,2017-12-14,316,West Hartford,CT
Marin Moms Demand Action,Protesting gun violence,1.0,200.0,2017-12-17,319,Larkspur,CA
general protestors,Rallying for gun control,1,200.0,2017-04-29,87,Atlanta,GA
Cardinal Blase Cupich,remembers victims of Chicago gun violence,0,200.0,2017-04-14,72,Englewood,IL  
general protestors,pro-gun rights,2,400.0,2017-04-26,84,Lansing,MI
general protestors,Protest against gun violence,1,200.0,2017-04-22,80,Memphis,TN
general protestors,rally for gun control,0,50.0,2017-10-07,248,Columbia,SC
general protestors,Protesting NRA,1,200.0,2017-10-14,255,Fairfax,VA
general protestors,Rallying for more gun restrictions,1,150.0,2017-10-06,247,New Haven,CT
Gays against Guns ,Protesting against lack of gun control; Protestesting NRA ,0,100.0,2017-10-02,243,New York City ,NY 
Newtown Action Alliance,Rally for tougher gun laws,0,50.0,2017-10-04,245,Newtown ,CT
general protestors,Rallying against gun violence,0,100.0,2017-10-07,248,West Chester,PA
Nebraska Firearm Owners Association,Rallying for gun rights,2.0,50.0,2017-11-05,277,Lincoln,NE
general protestors,Rallying against violence; protesting gun violence,1.0,130.0,2017-11-18,290,Middletown,NY
New Live Covenant Church,peace march; to end city's gun violence,0.0,200.0,2017-05-20,108,Chicago,IL
People's Justice Project,protesting gun violence,0.0,100.0,2017-05-22,110,Columbus,OH
All Shades United; general protestors,"blocked traffic on the Las Vegas Strip to protest the death of Tashii Brown, who died after a police officer fired a stun gun seven times and put into an unauthorized choke hold",0.0,85.5,2017-05-28,116,Las Vegas,NV
General Protesters,Protesting legislation on gun ownership,2.0,100.0,2018-01-12,345,Olympia,WA
