Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
United Fort Worth,Protesting TX's anti-sanctuary city bill,1.0,400.0,2017-08-01,181,Fort Worth,TX
general protestors,Oppose Trump administration's immigration policy,1.0,200.0,2017-08-02,182,Wyomissing,PA
Tennessee Immigrant and Refugee Rights Coalition,Urge Vice President Pence to support the DACA program,1.0,200.0,2017-08-03,183,Nashville,TN
FaithAction International House,fifth annual Downtown Unity Walk for Immigration Reform,1.0,200.0,2017-08-05,185,Greensboro,NC
community members, anti-deportation,0.0,250.0,2017-08-07,187,Norwalk,CT
general protestors,Oppose Governor Baker's bill authorizing state and local cooperation with ICE,1.0,100.0,2017-08-09,189,Springfield,MA
Houston Socialist Movement; New Black Panther Party,Opposing TX's SB4; rallying for immigrants,1.0,50.0,2017-08-12,192,Houston,TX
Lower Rio Grande Valley Sierra Club; La Union del Pueblo Entero; ARISE; Stonewall Democrats,Oppose Trump's border wall plans,1.0,625.0,2017-08-12,192,Mission,TX
general protestors,against border wall; pro-environment,1.0,200.0,2017-08-13,193,Alamo,TX
general protestors,Protesting deportation of woman/ICE,1.0,200.0,2017-08-14,194,Oakland,CA
Indiana Undocumented Youth Alliance; Greater Lafayette Immigrant Allies; Greater Lafayette chapter of the American Civil Liberties Union,Defend the DACA program,1.0,50.0,2017-08-15,195,Lafayette ,IN
Coalition for Humane Immigrant Rights,Celebrate the DACA program,1.0,80.0,2017-08-15,195,Los Angeles,CA
general protestors,defend DACA; pro-immigrants,1.0,100.0,2017-08-15,195,Phoenix,AZ
Coalition for Humane Immigrant Rights of Los Angeles,Defend the DACA program,1.0,50.0,2017-08-15,195,Santa Clarita,CA
organizer Francisco Serrano,Support DACA program,1.0,60.0,2017-08-24,204,Bowling Green,KY
general protestors,protect the DACA program,1.0,100.0,2017-08-29,209,Austin,TX
Teamsters Local 813,call for release of Guatemalan immigrant detained by ICE,1.0,50.0,2017-08-29,209,New York,NY
general protestors,protect the DACA and TPS programs,1.0,75.0,2017-08-29,209,Newark,NJ
Make the Road New York,Protect the DACA program,1.0,1000.0,2017-08-30,210,New York,NY
League of United Latin American Citizens ,Save DACA rally,1.0,60.0,2017-08-30,210,Vancouver,WA
Comunidades Unidas,Support DACA program,1.0,150.0,2017-08-31,211,Salt Lake City,UT
general protestors,Protesting anti-sanctuary city bill,0,150.0,2017-09-01,212,Austin,TX
students of University of North Texas and Texas Womens University & Denton residents,Protesting anti-sanctuary city bill,0,90.0,2017-09-01,212,Denton,TX
general protestors/students,Protesting Texas's anti-sanctuary city bill,0,150.0,2017-09-01,212,Fort Worth,TX
general protestors,Rally for DACA,1,200.0,2017-09-01,212,Los Angeles,CA
Yale Students,Rally for DACA,1,100.0,2017-09-01,212,New Haven,CT
general protestors,Rallying for DACA,1,100.0,2017-09-03,214,Chicago,IL
general protestors,Rally for DACA,1,200.0,2017-09-04,215,Atlanta,GA
general protestors,Rally for DACA,1,1000.0,2017-09-04,215,Los Angeles,CA
Latino Memphis,Rally for DACA,1,200.0,2017-09-04,215,Memphis,TN
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Anchorage,AK
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Berkeley,CA
La Alianza,Protesting Trump's DACA decision,1,75.0,2017-09-05,216,Cleveland,OH
general protestors,Protesting Trump's decision to end DACA,1,450.0,2017-09-05,216,Columbus,OH
Indivisble Ohio District 15,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Columbus,OH
general protestors,Rally for DACA,1,200.0,2017-09-05,216,Denver,CO
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Grand Rapids,MI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Irvine,CA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Kalamazoo,MI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Kansas City,MO
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Law Cruces,NM
Everett Resistance Movement,Protesting Trump's decision to end DACA,1,60.0,2017-09-05,216,Lynwood,WA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Minneapolis,MN
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Nashville,TN
