Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protestors,Protesting school's repsonse to a sexual assault allegation,0.0,100.0,2017-08-24,204,Florence,AL
Students,Campus Sexual Assault,0,90.0,2017-03-01,28,Saint Paul ,MN
students ,protest reported rape,0,100.0,2017-03-08,35,Kansas City,MO
students,"support arrested student, Native American students, and the lesbian, gay, bisexual and transgender community",1,50.0,2017-03-21,48,Durango,CO
Students Against Sexual Harassment,Oppose national culture permissive of sexual harassment,1.0,100.0,2017-07-08,157,Northampton,MA
survivors of campus sexual assault,Protesting DeVos' ideas for handling rape on college campuses,1.0,120.0,2017-07-13,162,Washington,DC
San Francisco Women Against Rape,to protest rape and sexual violence,0,500.0,2017-04-08,66,San Francisco,CA 
general protestors,against sexual assault,0,200.0,2017-04-12,70,Durham,NH
Collegiate Women of Color; Campus Feminist Collective (CFC); Student Advocates of Safer Sex (SASS),against sexual violence; Take Back the Night,0,150.0,2017-04-15,73,Hempstead,NY
Men,March against domestic violence,0,200.0,2017-10-12,253,Honolulu,HI
SlutWalk,"Protesting gender inequality, sexual assault",0,2000.0,2017-10-01,242,Los Angeles,CA
Students,Rally against sexual assault,0,200.0,2017-10-12,253,New Brunswick ,NJ
community members; local organizations,Domestic Violence Awareness and Solidarity,0,50.0,2017-10-05,246,Santa Maria,CA
community members,Domestic Violence Awareness and Solidarity,0,75.0,2017-10-26,267,Santa Maria,CA
general protestors,Vigil for woman killed; protesting domestic violence,0.0,200.0,2017-11-03,275,New York,NY
Colorado Coalition Againat Sexual Assault,Protesting sexual violence,0.0,100.0,2017-11-05,277,Denver,CO
The HEART Women and Girls Project ,Protesting sexual assault ,0.0,250.0,2017-11-12,284,Los Angeles,CA
"Students, faculty",Protesting sexual assault allegations against teachers,0.0,1200.0,2017-11-13,285,Boston,MA
general protestors,"Protesting sexual assault, harrassment",1.0,100.0,2017-11-17,289,Minneapolis,MN
students,oppose how rape charge was handled by school,0.0,100.0,2017-05-25,113,Los Angeles,CA
Students,Protestong school's handling of sexual assault allegations,0.0,200.0,2018-01-19,352,Eugene,OR
general protestors,MeToo March; against sexual violence,1.0,200.0,2018-01-20,353,Portland,OR
Students,Rallying for sexual assault survivors,1.0,450.0,2018-01-26,359,East Lansing,MI
