Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
organizer Elizabeth Vega,Condemn two recent fatal police shootings,1.0,50.0,2017-08-07,187,St. Louis,MO
general protestors,Rally for Australian woman killed by police,0.0,200.0,2017-08-11,191,Minneapolis,MN
Herbert Gilbert's neighbors and concerned Thomasville citizens,Demand public investigation into fatal police shooting,1.0,100.0,2017-08-16,196,Thomasville ,GA
general protestors,Rally for peace; protesting police violence against Black community,0.0,300.0,2017-08-19,199,Pittsburgh,PA
Herbert Gilbert's neighbors and concerned Thomasville citizens,Demand public investigation into fatal police shooting,1.0,200.0,2017-08-21,201,Thomasville ,GA
general protestors,Protesting police shooting of trans woman,0.0,50.0,2017-08-26,206,New York,NY
Showing Up for Racial Justice Nashville,call for removal of a confederate statue; protest a gathering of the Fraternal Order of Police's conference ,1.0,100.0,2017-08-28,208,Nashville,TN
Thomas County NAACP chapter,Calls for unity and peace in the wake of Thomas County drug squad agent Josh Smith fatally shooting Herbert Gilbert while serving a search warrant,1.0,75.0,2017-08-28,208,Thomasville ,GA
general protestors,Condemn police brutality and racism after young black man's killing,0.0,200.0,2017-08-30,210,Detroit,MI
general protestors,criticize Phoenix Police Department's crowd-control tactics during President Donald Trump's Aug. 22 downtown rally,1.0,200.0,2017-08-30,210,Phoenix,AZ
Fraternal Order of Police Lodge 5,Condemn a protest outside officer's home,0.0,2000.0,2017-08-31,211,Philadelphia,PA
general protestors,protesting police brutality,0,100.0,2017-09-02,213,Salt Lake City,UT
Twin Cities Coalition for Justice for Jamar,Protesting police violence,0,100.0,2017-09-03,214,St. Paul,MN
general protestors,protesting acquittal of ex-police officer Jason Stockley,0,1000.0,2017-09-17,228,St. Louis,MO
general protestors,Protesting decision not to indict white officer who killed Vernell Bing,0,70.0,2017-09-20,231,Jacksonville,FL
Black Lives Matter ,Non-violent message about police conduct and white supremacy ,0,200.0,2017-09-22,233,Albuquerque,NM
Black Lives Matter ,Protesting police shooting of deaf man,0,100.0,2017-09-24,235,Oklahoma City,OK
De-Escalate Washington,Protesting police brutality; rally for racial justice,0,150.0,2017-09-30,241,Olympia ,WA
Black Lives Matter Sacramento,protest DA's decision not to charge the two officers in the shooting death of an armed man,1.0,150.0,2017-02-01,0,Sacramento,CA
Buffalo Anti-Racism Coalition,Protesting death of African-American Wardel Davis in police custody,1.0,72.5,2017-02-09,8,Buffalo,NY
Black Lives Matter,Against police killing of Black child Quanice Hayes,1.0,200.0,2017-02-16,15,Portland,OR
Just Resisting ,Protesting Police Killing of Black Man Wardell Davis,1.0,125.0,2017-02-17,16,Buffalo,NY
Coalition for Real Justice,Against police abuses,1.0,100.0,2017-02-17,16,Philadelphia,PA
general protestors,anti-police shooting,1.0,300.0,2017-02-22,21,Anaheim,CA
general protestors,support for Delaware's correctional officers,0.0,100.0,2017-02-25,24,Dover,DE
Students,Protest Against the School To Prison Pipeline; police brutality against students,1.0,62.0,2017-02-26,25,Saint Paul ,MN
