Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
"NAACP of Colorado, Montana, and Wyoming State-Area Conference",Loves Lives Here Rally to oppose anti-semitism ,0.0,300.0,2017-08-06,186,Colorado Springs,CO
Shoulder2shoulder,No Hate Sante Fe; stand up to racist group Sante Fe Power,1.0,50.0,2017-08-09,189,Santa Fe,NM
general protestors,Condemning violence and racism in Charlottesville,1.0,200.0,2017-08-12,192,Atlanta,GA
general protestors,Rally against hate and racism seen in Charlottesville,1.0,105.0,2017-08-12,192,Austin,TX
general protestors,Protesting violence/racism in Charlottesville,1.0,100.0,2017-08-12,192,New York,NY
Occupy Oakland,Protesting violence/racism in Charlottesville,1.0,2000.0,2017-08-12,192,Oakland,CA
general protestors,Rally to remove confederate statues,1.0,200.0,2017-08-12,192,San Anotinio,TX
Texas Freedom Force,Rally to protect confederate statues,2.0,200.0,2017-08-12,192,San Antonio,TX
general protestors,Protesting violence/racism in Charlottesville,1.0,150.0,2017-08-12,192,Santa Ana,CA
We Are Anchorage; community members,rally against racism,0.0,350.0,2017-08-13,193,Anchorage,AK
general protestors,Protesting violence/racism in Charlottesville,1.0,316.0,2017-08-13,193,Ardmore,PA
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Asheville,NC
general protestors,Protesting violence/racism in Charlottesville,1.0,470.0,2017-08-13,193,Atlanta,GA
Young Progressive Coalition; Bakersfield Young Democrats; NAACP Bakersfield; California Partnership,Protesting violence/racism in Charlottesville,1.0,218.0,2017-08-13,193,Bakersfield,CA
general protestors,Protesting violence/racism in Charlottesville,1.0,95.0,2017-08-13,193,Baton Rouge,LA
general protestors,Protesting violence/racism in Charlottesville,1.0,60.0,2017-08-13,193,Billings,MT
Democratic Socialists of America - Birmingham,Protesting violence/racism in Charlottesville,1.0,165.0,2017-08-13,193,Birmingham,AL
Coalition for Justice,Protesting violence/racism in Charlottesville,1.0,194.0,2017-08-13,193,Blacksburg,VA
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Charlottesville,VA
general protestors,Protesting violence/racism in Charlottesville,1.0,400.0,2017-08-13,193,Chicago,IL
ISO Columbus; Columbus Citizens for Police Review; DSA Columbus; Yes We Can Columbus,Protesting violence/racism in Charlottesville,1.0,496.0,2017-08-13,193,Columbus,OH
general protestors,Protesting violence/racism in Charlottesville,1.0,53.0,2017-08-13,193,Concord,NC
The Resistance 5280 ,Protesting violence/racism in Charlottesville,1.0,350.0,2017-08-13,193,Denver,CO
Michigan Peoples Defense Network,Protesting violence/racism in Charlottesville,1.0,144.0,2017-08-13,193,Detroit,MI
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Evansville,IN
Cape Fear Indivisible,Protesting violence/racism in Charlottesville,1.0,68.0,2017-08-13,193,Fayettesville,NC
Indivisible Gig Harbor,Protesting violence/racism in Charlottesville,1.0,150.0,2017-08-13,193,Gig Harbor,WA
general protestors,Protesting violence/racism in Charlottesville,1.0,371.0,2017-08-13,193,Grand Rapids,MI
Indivisible Greenwich ,Protesting violence/racism in Charlottesville,1.0,100.0,2017-08-13,193,Greenwich,CT
Black Lives Matter,Protesting violence/racism in Charlottesville,1.0,250.0,2017-08-13,193,Greenville,SC
general protestors,Protesting violence/racism in Charlottesville,1.0,409.0,2017-08-13,193,Harrisonburg,VA
general protestors,Protesting violence/racism in Charlottesville,1.0,50.0,2017-08-13,193,Homer,AK 
general protestors,Protesting violence/racism in Charlottesville,1.0,603.0,2017-08-13,193,Houston,TX
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Kalamazoo,MI
Lancaster Stands Up,Protesting violence/racism in Charlottesville,1.0,439.0,2017-08-13,193,Lancaster,PA
Solidarity and Defense,Protesting violence/racism in Charlottesville,1.0,437.0,2017-08-13,193,Lansing,MI
general protestors,Protesting violence/racism in Charlottesville,1.0,100.0,2017-08-13,193,Lewisburg,ME
general protestors,Protesting violence/racism in Charlottesville,1.0,100.0,2017-08-13,193,Lewisburg,WV
general protestors,Protesting violence/racism in Charlottesville,1.0,100.0,2017-08-13,193,Lewisburg,PA
Black Lives Matter,Protesting violence/racism in Charlottesville,1.0,472.0,2017-08-13,193,Louisville,KY
general protestors,Protesting violence/racism in Charlottesville,1.0,300.0,2017-08-13,193,Madison,WI
general protestors,Protesting violence/racism in Charlottesville,1.0,120.0,2017-08-13,193,Meadville,PA
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Memphis,TN
general protestors,Protesting violence/racism in Charlottesville,1.0,152.0,2017-08-13,193,Middletown,CT
general protestors,Protesting violence/racism in Charlottesville,1.0,191.0,2017-08-13,193,Morgantown,WV
New Haven AntiFacists,Protesting violence/racism in Charlottesville,1.0,407.5,2017-08-13,193,New Haven,CT
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,New York,NY
Orlando Workers League,Protesting violence/racism in Charlottesville,1.0,138.0,2017-08-13,193,Orlando,FL
Black Lives Matter Phoenix; east Valley NAACP ,Protesting violence/racism in Charlottesville,1.0,208.0,2017-08-13,193,Phoenix,AZ
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Portland,ME
Indivisble NC,Protesting violence/racism in Charlottesville,1.0,1100.0,2017-08-13,193,Raleigh,NC
Hudson Valley Strong Indivisible,Protesting violence/racism in Charlottesville,1.0,150.0,2017-08-13,193,Rhinebeck,NY
general protestors,Protesting violence/racism in Charlottesville,1.0,300.0,2017-08-13,193,Richmond,VA
Indivisible Sacremton,Protesting violence/racism in Charlottesville,1.0,809.0,2017-08-13,193,Sacramento,CA
RefuseFacism.org,Protesting violence/racism in Charlottesville,1.0,173.0,2017-08-13,193,San Francisco,CA
Santa Cruz Indivisble,Protesting violence/racism in Charlottesville,1.0,117.0,2017-08-13,193,Santa Cruz,CA
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Seattle,WA
Indivisble Tacoma,Protesting violence/racism in Charlottesville,1.0,328.0,2017-08-13,193,Tacoma,WA
Tampa DSA,Protesting violence/racism in Charlottesville,1.0,608.0,2017-08-13,193,Tampa,FL
general protestors,Protesting violence/racism in Charlottesville,1.0,150.0,2017-08-13,193,Terre Haute,IN
general protestors,Protesting violence/racism in Charlottesville,1.0,1300.0,2017-08-13,193,Tucson,AZ
general protestors,Protesting violence/racism in Charlottesville,1.0,550.0,2017-08-13,193,Washington,DC
Indivisible CT; Women's March CT,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,West Hartford,CT
general protestors,Protesting violence/racism in Charlottesville,1.0,100.0,2017-08-13,193,Wethersfield,CT
general protestors,Protesting violence/racism in Charlottesville,1.0,250.0,2017-08-13,193,Willimantic,CT
Indivisible,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Wilmington,DE
general protestors,Protesting violence/racism in Charlottesville,1.0,79.0,2017-08-13,193,Winchester,VA
SURJ Worcester,Protesting violence/racism in Charlottesville,1.0,450.0,2017-08-13,193,Worcester,MA
Ashland Center for Nonviolence; Ohio 7 Together ,Protesting violence/racism in Charlottesville,1.0,75.0,2017-08-14,194,Ashland,OH
Toleda NAACP,Protesting violence/racism in Charlottesville,1.0,350.0,2017-08-14,194,Maumee,OH
Minnesota Immigrant Rights Action Committee,Protesting violence/racism in Charlottesville,1.0,1000.0,2017-08-14,194,Minneapolis,MN
Oneonta NAACP,Protesting violence/racism in Charlottesville,1.0,150.0,2017-08-14,194,Oneonta,NY
Common Ground Coalition of Douglas County,Protesting violence/racism in Charlottesville,1.0,90.0,2017-08-14,194,Roseburg,OR
Sutherland Institute,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-14,194,Salt Lake City,UT
Utah League of Native American Voters; Multicultural Engagement for Utah,Protesting violence/racism in Charlottesville,1.0,1500.0,2017-08-14,194,Salt Lake City,UT
organizer Sawyer Ralph,Protesting violence/racism in Charlottesville,1.0,50.0,2017-08-14,194,Spokane ,WA
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-14,194,Washington,DC
Indivisible Casper,"Protesting violence, racism in Charlottesville",1.0,80.0,2017-08-15,195,Casper,WY
general protestors,Oppose white supremacist violence in Charlottesville,1.0,200.0,2017-08-15,195,Dunkirk,NY
March on Fairbanks; Fairbanks Activist Forum; Fairbanks Climate Action Coalition; Fairbanks chapter of the NAACP,Condemn white supremacist violence,1.0,200.0,2017-08-15,195,Fairbanks,AK
organziers Loren Prince and Tree Janzen,We Believe in Peace; condemn white supremacist violence,1.0,75.0,2017-08-15,195,Green Bay,MI
Coalition of Concerned Citizens,Protesting the confederate statue,1.0,100.0,2017-08-15,195,Memphis,TN
Charleston chapter of Democratic Socialists of America,Remove the Calhoun Statue and Confederate Memorial,1.0,100.0,2017-08-16,196,Charleston,SC
general protestors,Protesting violence/racism in Charlottesville,1.0,2000.0,2017-08-16,196,Charlottesville,VA
Pegasus Institute,"One People, One Commonwealth rally against white supremacist violence",1.0,50.0,2017-08-16,196,Frankfort,KY
