Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
ACLU; NARAL Pro Choice Virginia; Planned Parenthood,Oppose Virginia's targeted restrictions of abortion providers,1.0,50.0,2017-08-11,191,Richmond,VA
general protesters,LGBT rights; abortion rights; immigrant rights,1.0,65.0,2017-02-09,8,Waco,TX
,pro-Planned Parenthood,1.0,200.0,2017-02-10,9,Sarasota,FL
general protesters,Defunding Planned Parenthood,2.0,150.0,2017-02-11,10,Mesa,AZ
general protesters,Supporting Planned Parenthood,1.0,200.0,2017-02-11,10,Tempe,AZ
general protesters,Defunding Planned Parenthood,2.0,200.0,2017-02-11,10,Tempe,AZ
general protesters,Supporting Planned Parenthood,1.0,2500.0,2017-02-11,10,Encinitas,CA
general protesters,Defunding Planned Parenthood,2.0,350.0,2017-02-11,10,Orange,CA
general protesters,Supporting Planned Parenthood,1.0,200.0,2017-02-11,10,Pasadena,CA
general protesters,Supporting Planned Parenthood,1.0,200.0,2017-02-11,10,Redwood City,CA
general protesters,Supporting Planned Parenthood,1.0,200.0,2017-02-11,10,Sacramento,CA
general protesters,Supporting Planned Parenthood,1.0,60.0,2017-02-11,10,Sacramento,CA
general protesters,Supporting Planned Parenthood,1.0,250.0,2017-02-11,10,San Francisco,CA
STAND San Jose,Supporting Planned Parenthood,1.0,4000.0,2017-02-11,10,San Jose,CA
general protesters,Supporting Planned Parenthood,1.0,775.0,2017-02-11,10,San Luis Obispo,CA
general protesters,Defunding Planned Parenthood,2.0,110.0,2017-02-11,10,San Luis Obispo,CA
general protesters,Defunding Planned Parenthood,2.0,150.0,2017-02-11,10,Denver,CO
general protesters,Defunding Planned Parenthood,2.0,50.0,2017-02-11,10,Washington,DC
Palm Beach County Right to Life League,Defunding Planned Parenthood,2.0,160.0,2017-02-11,10,Boca Raton,FL
Broward County Right to Life,Defunding Planned Parenthood,2.0,200.0,2017-02-11,10,Pembroke Pines,FL
general protesters,Supporting Planned Parenthood,1.0,150.0,2017-02-11,10,St. Petersburg,FL
general protesters,Defunding of Planned Parenthood,2.0,120.0,2017-02-11,10,Tampa,FL
general protesters,Supporting Planned Parenthood,1.0,150.0,2017-02-11,10,Tampa,FL
general protesters,Supporting Planned Parenthood,1.0,112.5,2017-02-11,10,Lawrenceville,GA
general protesters,Defunding Planned Parenthood,2.0,100.0,2017-02-11,10,Marietta,GA
general protesters,Defunding Planned Parenthood,2.0,300.0,2017-02-11,10,Aurora,IL
general protesters,Supporting Planned Parenthood,1.0,1000.0,2017-02-11,10,Bloomington,IL
general protesters,Defunding Planned Parenthood,2.0,250.0,2017-02-11,10,Peoria,IL
general protesters,Supporting Planned Parenthood,1.0,2500.0,2017-02-11,10,Peoria,IL
general protesters,Supoorting Planned Parenthood,1.0,1500.0,2017-02-11,10,Bloomington,IN
general protesters,Supporting Planned Parenthood,1.0,100.0,2017-02-11,10,Fort Wayne,IN
general protesters,Defunding Planned Parenthood,2.0,100.0,2017-02-11,10,Fort Wayne,IN
general protesters,Supporting Planned Parenthood,1.0,200.0,2017-02-11,10,Frederick,MD
general protesters,Defunding Planned Parenthood,2.0,50.0,2017-02-11,10,Frederick,MD
general protesters,Supporting Planned Parenthood,1.0,250.0,2017-02-11,10,Portland,ME
general protesters,Supporting Planned Parenthood,1.0,300.0,2017-02-11,10,Ann Arbor,MI
general protesters,Supporting Planned Parenthood,1.0,650.0,2017-02-11,10,Detroit,MI
Citizens for a Pro-Life Society,Defunding Planned Parenthood,2.0,100.0,2017-02-11,10,Detroit,MI
