Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protestors,Oppose Trump administration's immigration policy,1.0,200.0,2017-08-02,182,Wyomissing,PA
Women's March West Virginia coalition,Protesting Trump's rally,1.0,400.0,2017-08-03,183,Huntington,WV
Skylands Tea Party,Rally for Trump,2.0,70.0,2017-08-05,185,Frankford,NJ
Portland Stands United Against Hate,anti-Trump,1.0,150.0,2017-08-06,186,Portland,OR
general protestors,anti-Trump,1.0,100.0,2017-08-08,188,Aspen,CO
Missouri Heights resident Linda Lafferty,Denounce the Trump administration's agenda,1.0,95.0,2017-08-09,189,Aspen,CO
Lower Rio Grande Valley Sierra Club; La Union del Pueblo Entero; ARISE; Stonewall Democrats,Oppose Trump's border wall plans,1.0,625.0,2017-08-12,192,Mission,TX
Patriot Prayer  ,Pro-Trump,2.0,200.0,2017-08-13,193,Seattle,WA
general protestors,Protesting Trump's response to Charlottesville,1.0,2000.0,2017-08-14,194,New York,NY
general protestors,Anti-Trump,1.0,200.0,2017-08-15,195,New York,NY
Georgia Alliance for Social Justice,"Protesting violence/racism in Charlottesville, Trump",1.0,2000.0,2017-08-19,199,Atlanta,GA
general protestors,Protesting Trump,1.0,70.0,2017-08-20,200,Palm Beach,FL
U.S. Rep. Raúl Grijalva,Protesting Trump rally,1.0,2000.0,2017-08-22,202,Phoenix,AZ
general protestors,Protesting Trump rally,1.0,75.0,2017-08-22,202,Tuscon,AZ
Indivisible Northern Arizona,Oppose visit by President Trump,1.0,1000.0,2017-08-23,203,Reno,NV
organizer Chase Doremus,Oppose Trump's transgender military ban,1.0,130.0,2017-08-27,207,Portland,OR
general protestors,denounce President Trump,1.0,2000.0,2017-08-28,208,New York,NY
general protestors,Welcome visit by President Trump,2.0,200.0,2017-08-29,209,Corpus Christi,TX
organizer and attorney Bill Hardin from the law firm Osborn Maledon,protest President Donald Trump’s pardon of former Maricopa County Sheriff Joe Arpaio,1.0,150.0,2017-08-29,209,Phoenix,AZ
general protestors,criticize Phoenix Police Department's crowd-control tactics during President Donald Trump's Aug. 22 downtown rally,1.0,200.0,2017-08-30,210,Phoenix,AZ
Southwest Missouri Democrats; Springfield Indivisible; MOmentum: Missouri Moving Forward; Resisters,The People’s Protest to oppose visit by President Trump,1.0,2000.0,2017-08-30,210,Springfield,MO
Let Us Serve,oppose President Trump’s proposed budget cuts to national service programs such as AmeriCorps,1.0,100.0,2017-08-30,210,Washington,DC
general protestors,Calling on area Republicans to follow Trump's lead,2,200.0,2017-09-01,212,Allentown,PA
general protestors,Rally for DACA; against Trump,1,200.0,2017-09-02,213,Austin,TX
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Anchorage,AK
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Berkeley,CA
La Alianza,Protesting Trump's DACA decision,1,75.0,2017-09-05,216,Cleveland,OH
general protestors,Protesting Trump's decision to end DACA,1,450.0,2017-09-05,216,Columbus,OH
Indivisble Ohio District 15,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Columbus,OH
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Grand Rapids,MI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Irvine,CA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Kalamazoo,MI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Kansas City,MO
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Law Cruces,NM
Everett Resistance Movement,Protesting Trump's decision to end DACA,1,60.0,2017-09-05,216,Lynwood,WA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Minneapolis,MN
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Nashville,TN
Yale Women's Center,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,New Haven,CT
general protestors,Protesting Trump's DACA decision,1,350.0,2017-09-05,216,New York,NY
general protestors,Protesting Trump's DACA decision,1,2000.0,2017-09-05,216,New York,NY
general protestors,Protesting Trump's DACA decision,1,2000.0,2017-09-05,216,New York,NY
NYU Dream Team; NYU Sanctuary; NYU Pacific American Coalition ,Protesting Trump's DACA decision,1,70.0,2017-09-05,216,New York ,NY
Students and faculty,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Normal,IL
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Oberlin,OH
Voces de la Frontera,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Racine,WI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Raleigh,NC
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Sacramento,CA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,San Antonio,TX
general protestors,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,San Diego,CA
general protestors,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,San Francisco,CA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,San Jose,CA
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Sioux Falls,SD
general protestors,Protesting Trump's DACA decision,1,50.0,2017-09-05,216,St. Cloud,MN
general protestors,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Syracuse,NY
Students,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Tucson,AZ
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-05,216,Yakima,WA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Fort Worth,TX
Young People's Resistance Committee,Protesting Trump's decision to end DACA,1,2000.0,2017-09-06,217,Milwaukee,WI
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Mishawaka,IN
general protestors,Protesting Trump's DACA decision; demanding action from Senator,1,100.0,2017-09-06,217,Mt. Lebanon,PA
Napa Valley Dream Team,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Napa,CA
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Newark,NJ
Political Latinxs United for Movement and Action in Society at VCU,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Richmond,VA
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-06,217,Springfield,PA
general protestors,Protesting Trump's decision to end DACA,1,600.0,2017-09-06,217,Tucson,AZ
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Watsonville,CA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-07,218,Cleveland,OH
